Contact Person,Designation,Organization
 NIRMITKUMAR CHORARIA,Founder,11ZA
 RIDDHIMA DWIVEDI,FOUNDER & CEO,1INALL CARD BY RCMH
 Yogesh Mankar,Director,24 Colourkicks Pvt Ltd
 Sumit Prakash,PR & Communication Manager,7Sky Technovation Private Limited
 Arjun Thakur,Director,A.K. Gourmet House Private Limited
 Dev Agrawal,Founder,A3NDG TECHNOLOGYS LLP
 Avinish Jain,Avinish Jain,Aabhar Ventures Private Limited
 Hitesh Rathi,Hitesh Rathi,Aadvik Foods and Products Pvt Ltd
 Gaganpreet Singh,Chief Technology Officer (CTO),Aaizel International Technologies Private Limited
 Gunjan Jhajharia,Co founder,Aaklan
 Mala Rajendran,Mala,Aanandhamayaa Green Solutions
 Shikha Gupta,CEO,Aapastech Private Limited
 Jai Dave,Director,Aapilok Softech Pvt Ltd
 SNEHA RK,CO-FOUNDER & COO,AARAL EXPORTS
 Monika Taparia,Head of Legal,AasaanWIll by AssetVault
 Manoj Kumar,Manager,Aavya Labs
 Pankaj Gupta,Pankaj Gupta,Abhinandan aroma & farm pvt ltd
 Bhawana Singh,CEO,AbilityEx
 Vaibhav Mahajn,CEO,AbracaDabra Software Solutions Pvt. Ltd.
 Jainul Abedin,Founder & CEO,Abyom SpaceTech and Defence Private Limited
 Muskaan Bhatt,Digital Marketing Manager,AcadAlly (Avalon Labs Private Ltd)
 Rrajesh Patil,C E O,Acc-Red
 Tuhin Sharma,Co-founder,Accio Robotics
 SHORYA VEER RANA,DIRECTOR,ACCORDPHARMACY PVT LTD
 Rhishendra Giri,Director,Acquaintas Global
 Ishant Jaipuria,Senior Marketing Manager,Acrannolife Genomics Pvt. Ltd.
 Krishnanunni J S,CEO Acutro Technologies,Acutro Technologies Pvt Ltd
 Vikas Jain,Founder and CEO,Acviss Technologies
 Ketki Agarwal,Founder & CEO,Adhiyam Pvt Ltd
 Darshan Meher,Darshan Meher,Adiabatic Technologies Private Limited
 Meher Prasad Gupta,Partner,Adira AgriMantrana
 PRASAD DESAI,COFOUNDER,ADIS TECHNOLOGIES PVT LTD
 Amitesh Mullick,Amitesh Chandra Mullick,Aditri Handcrafts And Handlooms Pvt. Ltd.
 Vedaang Prasad,Vedaang Prasad,ADITUS HEALTHTECH PRIVATE LIMITED (Merry Health)
 Gaurav Yadav,CoFounder,Admissionbot Pvt. Ltd.
 Nitesh K. Tank,CEO,Advick AgVenture Private Limited
 Shayak Mazumder,"CEO, CTO",Adya AI
 Vineet Bhandari,CEO,Aegis Renewable Tech Solutions Pvt. Ltd.
 Sachin Khedkar,Sachin khedkar,Aektara Micromobility
 Prakash Kumar,GeM Executive,Aero Digital World Private Limited
 Zahir Jaffer,Zahir Jaffer,AeroDel Technology Innovations Pvt Ltd
 Durga Das,CEO,Aeronero
 VIKAS SINGH,SALES & MARKETING EXECUTIVE,AETHRONE AEROSPACE
 Surya Singh,Director,Aezowie Infotech Services Pvt. Ltd.
 Payal Garg,Founder,Afsir.in
 T Sajan Nair,Founder and CEO,Agaamin Technologies Private Limited.
 Bharath Chikkanahalli,CEO,AgCane Sciences and Services Pvt Ltd
 Anie Joshy,Anie Joshy,Ageo Global Foods Private Limited
 Isha Dhingra,Founder's Office,AgNext Technologies Pvt. Ltd.
 Raghothaman S,Raghothaman S,Agnikul Cosmos Private Limited
 Jas Sharma,Founder,AGOMUC PROGRAM
 Raman Kumar,CEO,Agrifeeder Agricultural Services Pvt Ltd
 SUSHIL SHELKE,CO FOUNDER,AGRIFOOD TECH PVT LTD ( S 4 FOODS )
 Harish Ajankar,Director,Agriverse innovations pvt. ltd.
 Elena Ilinskaya,General director,"Agro-Recycling Group, Ltd."
 Vishal Kothari,CMD,Agrolt Solutions Pvt. Ltd.
 Manoj Ramaswamy,Co-founder & CFO,Agrosperity Tech Solutions Pvt Ltd
 Abhinav Mahajan,Director,Agsure Innovations Pvt Ltd
 Ashwin Chandrasekaran,Co-Founder & Director,AI Health Highway India Pvt Ltd
 Nadine Sangster,Dr Nadine Sangster,AI Innovators Lab
 Nishtha Rohatgi,Nishtha Rohatgi,AI.HYR (Providentia Labs Pvt. Ltd.)
 Ramya Achar,CEO,Aicumen Corporation Private Limited
 Anurag Kumar,Chief Marketing Officer,AIDETIC SOFTWARE PRIVATE LIMITED
 Archana Kumari,CEO,Aidhive Workshop Private Limited
 Ani Sam Varghese,CEO,AiDrone Pvt. Ltd.
 Mishty Kharbanda,"Founder, CEO",AidWave
 Devibala Adaikalam,Propreior,AIKA Enterprises
 Adnan Haider,Solution Head,Aikenist Technologies Pvt Ltd
 Mohak Biala,Co-Founder,AIMSwasthya
 Nitin Saraswat,CEO,AiProff Software Consulting Private Limited
 Videt Jaiswal,Founder & CEO,Airblack Technologies Private Ltd
 AJAY VISHWATH,ASSISTANT VICE PRESIDENT,AIRBOTIX TECHNOLOGY PVT LTD
 Danish Ghori,Danish Ghori,Airbots Aerospace Private Limited
 Bibhuti Rajput,Bibhuti Rajput,Airbuddy Aerospace Pvt Ltd
 Mohak Batra,director,Airhomestays
 Raj Bikram Maharjan,CEO,Airlift Technology Pvt Ltd
 Punit Vaya,Founder,AiRotor Technologies LLP
 RAVI KAUSHIK,CEO,AIRTH
 Pratik Patel,Founder and CEO,Airx Innovations Pvt Ltd
 Siddharth Jena,Founder Director,Akashalabdhi Space
 Kirthivasan Perialwar,"Co-Founder , Managing Director",Akihiro Technologies Pvt Ltd
 Amruth Raj,Akin Analytics Solutions Private Limited,AKIN ANALYTICS SOLUTIONS PRIVATE LIMITED
 Janaki P,Founder,AkinAnalytics
 Ankit Garg,CEO,AKKOPINAKI INDIA PRIVATE LIMITED
 Thiyam Akuvan,CEO,Akumen Artificial Intelligence Pvt Ltd
 Mehul Singhvi,Director,AKVP Nexttech Innovations Private Limited
 Ashish Kulshreshtha,Ashish Kulshreshtha,ALCOMOTIVE INDIA PRIVATE LIMITED
 S V Ravikumar Yadavilli,Founder,Algohire Technologies Private Limited
 RAVI KIRAN,Founder & CEO,ALIEN INNOVATIONS
 Piyush Shah,Chief Executive Officer,AlignTogether Solutions Private Limited
 Ekant Babani,Ekant Arun Babani,Alligator Media Pvt Ltd
 Bhavya Sharma,VP Sales,Alltechlabs Pvt LLtd
 Mrinal Tayal,CEO,Almerio Defence and Aerospace
 Nimisha Varma,Nimisha Varma,Aloe Ecell Pvt Ltd
 Rajiv Mittal,Director,Alpha Bridge Technologies Private Limited
 Shivam Singh Bhadauria,Director,Alphadroid India Private Limited
 Sooraj Surendran,Managing Director,Alphageek Enterprises Private Limited
 Dhrumil Thakkar,Founder,Alphatron Electric Mobility Pvt Ltd
 Rahul Vats,110017,Amala Life
 Aman Porwal,Aman Porwal,Aman Porwal
 MEENAL KHANNA,FOUNDER & DIRECTOR,AMANTYACARE PRIVATE LIMITED
 NEHA MITTAL,NEHA MITTAL,AMBE NS WELLNESS PRIVATE LIMITED
 Jeeten Desai,Founder,Ambiator Private Limited
 Piyush Gupta,Founder,Ambrosia Systems India Pvt Ltd
 Abhishek Gautam,Founder,AMBULA
 Yash Kumar Goel,Director & CEO,Ambuvians Healthcare Private Limited
 Sengmitchi C Marak,Founder,Amis Accessorries
 Amit Kunal,Founder & CEO,Amit Kunal
 Abhishek Pandey,Performance Marketing,Amiy Naturals
 Shrijan Tayde,CEO and Founder,Amlaan RiverCorp
 Hari balaji Munisamy gopi,Executive director,AMMAN MILLET FOODS PRIVATE LIMITED
 AMRIT DIXIT,FOUNDER AND MANAGING DIRECTOR,AMRIT MediTech Private Limited
 AGNI MITRA,FOUNDER DIRECTOR,AMWOODO ECO PRODUCTS PVT LTD
